measurement_index,rtt_seconds
0,1.7311943799995788
1,1.724341489998551
2,1.7403482370009442
3,1.7324256950014387
4,1.7247950109995145
5,1.7401868519991694
6,1.7370742860002792
7,1.7240744120008458
8,1.7285795159987174
9,1.7277430980011559
10,1.7250804100003734
11,1.728400893000071
12,1.7323369620007725
13,1.7322045839991915
14,1.7371970669992152
15,1.723897591999048
16,1.7366516360016249
17,1.7399292050013173
18,1.730181722999987
19,1.7390839199997572
